,start_timestamp,end_timestamp,marketprice,unit
0,2020-12-31 23:00:00,2021-01-01 00:00:00,50.87,Eur/MWh
1,2021-01-01 00:00:00,2021-01-01 01:00:00,48.19,Eur/MWh
2,2021-01-01 01:00:00,2021-01-01 02:00:00,44.68,Eur/MWh
3,2021-01-01 02:00:00,2021-01-01 03:00:00,42.92,Eur/MWh
4,2021-01-01 03:00:00,2021-01-01 04:00:00,40.39,Eur/MWh
5,2021-01-01 04:00:00,2021-01-01 05:00:00,40.2,Eur/MWh
6,2021-01-01 05:00:00,2021-01-01 06:00:00,39.63,Eur/MWh
7,2021-01-01 06:00:00,2021-01-01 07:00:00,40.09,Eur/MWh
8,2021-01-01 07:00:00,2021-01-01 08:00:00,41.27,Eur/MWh
9,2021-01-01 08:00:00,2021-01-01 09:00:00,44.88,Eur/MWh
10,2021-01-01 09:00:00,2021-01-01 10:00:00,45.0,Eur/MWh
11,2021-01-01 10:00:00,2021-01-01 11:00:00,47.2,Eur/MWh
12,2021-01-01 11:00:00,2021-01-01 12:00:00,50.78,Eur/MWh
13,2021-01-01 12:00:00,2021-01-01 13:00:00,45.49,Eur/MWh
14,2021-01-01 13:00:00,2021-01-01 14:00:00,44.73,Eur/MWh
15,2021-01-01 14:00:00,2021-01-01 15:00:00,46.59,Eur/MWh
16,2021-01-01 15:00:00,2021-01-01 16:00:00,52.99,Eur/MWh
17,2021-01-01 16:00:00,2021-01-01 17:00:00,60.26,Eur/MWh
18,2021-01-01 17:00:00,2021-01-01 18:00:00,60.61,Eur/MWh
19,2021-01-01 18:00:00,2021-01-01 19:00:00,60.36,Eur/MWh
20,2021-01-01 19:00:00,2021-01-01 20:00:00,57.4,Eur/MWh
21,2021-01-01 20:00:00,2021-01-01 21:00:00,53.86,Eur/MWh
22,2021-01-01 21:00:00,2021-01-01 22:00:00,53.45,Eur/MWh
23,2021-01-01 22:00:00,2021-01-01 23:00:00,49.72,Eur/MWh
24,2021-01-01 23:00:00,2021-01-02 00:00:00,46.69,Eur/MWh
25,2021-01-02 00:00:00,2021-01-02 01:00:00,42.43,Eur/MWh
26,2021-01-02 01:00:00,2021-01-02 02:00:00,41.09,Eur/MWh
27,2021-01-02 02:00:00,2021-01-02 03:00:00,40.0,Eur/MWh
28,2021-01-02 03:00:00,2021-01-02 04:00:00,37.55,Eur/MWh
29,2021-01-02 04:00:00,2021-01-02 05:00:00,39.0,Eur/MWh
30,2021-01-02 05:00:00,2021-01-02 06:00:00,42.09,Eur/MWh
31,2021-01-02 06:00:00,2021-01-02 07:00:00,44.96,Eur/MWh
32,2021-01-02 07:00:00,2021-01-02 08:00:00,48.45,Eur/MWh
33,2021-01-02 08:00:00,2021-01-02 09:00:00,52.0,Eur/MWh
34,2021-01-02 09:00:00,2021-01-02 10:00:00,52.0,Eur/MWh
35,2021-01-02 10:00:00,2021-01-02 11:00:00,52.15,Eur/MWh
36,2021-01-02 11:00:00,2021-01-02 12:00:00,55.95,Eur/MWh
37,2021-01-02 12:00:00,2021-01-02 13:00:00,52.0,Eur/MWh
38,2021-01-02 13:00:00,2021-01-02 14:00:00,50.69,Eur/MWh
39,2021-01-02 14:00:00,2021-01-02 15:00:00,53.45,Eur/MWh
40,2021-01-02 15:00:00,2021-01-02 16:00:00,59.99,Eur/MWh
41,2021-01-02 16:00:00,2021-01-02 17:00:00,62.0,Eur/MWh
42,2021-01-02 17:00:00,2021-01-02 18:00:00,63.08,Eur/MWh
43,2021-01-02 18:00:00,2021-01-02 19:00:00,62.17,Eur/MWh
44,2021-01-02 19:00:00,2021-01-02 20:00:00,60.03,Eur/MWh
45,2021-01-02 20:00:00,2021-01-02 21:00:00,55.03,Eur/MWh
46,2021-01-02 21:00:00,2021-01-02 22:00:00,52.25,Eur/MWh
47,2021-01-02 22:00:00,2021-01-02 23:00:00,48.45,Eur/MWh
48,2021-01-02 23:00:00,2021-01-03 00:00:00,46.11,Eur/MWh
49,2021-01-03 00:00:00,2021-01-03 01:00:00,43.0,Eur/MWh
50,2021-01-03 01:00:00,2021-01-03 02:00:00,39.55,Eur/MWh
51,2021-01-03 02:00:00,2021-01-03 03:00:00,35.18,Eur/MWh
52,2021-01-03 03:00:00,2021-01-03 04:00:00,33.45,Eur/MWh
53,2021-01-03 04:00:00,2021-01-03 05:00:00,32.37,Eur/MWh
54,2021-01-03 05:00:00,2021-01-03 06:00:00,31.7,Eur/MWh
55,2021-01-03 06:00:00,2021-01-03 07:00:00,32.63,Eur/MWh
56,2021-01-03 07:00:00,2021-01-03 08:00:00,36.9,Eur/MWh
57,2021-01-03 08:00:00,2021-01-03 09:00:00,36.96,Eur/MWh
58,2021-01-03 09:00:00,2021-01-03 10:00:00,36.96,Eur/MWh
59,2021-01-03 10:00:00,2021-01-03 11:00:00,43.72,Eur/MWh
60,2021-01-03 11:00:00,2021-01-03 12:00:00,47.71,Eur/MWh
61,2021-01-03 12:00:00,2021-01-03 13:00:00,40.41,Eur/MWh
62,2021-01-03 13:00:00,2021-01-03 14:00:00,39.66,Eur/MWh
63,2021-01-03 14:00:00,2021-01-03 15:00:00,39.57,Eur/MWh
64,2021-01-03 15:00:00,2021-01-03 16:00:00,36.11,Eur/MWh
65,2021-01-03 16:00:00,2021-01-03 17:00:00,45.04,Eur/MWh
66,2021-01-03 17:00:00,2021-01-03 18:00:00,52.56,Eur/MWh
67,2021-01-03 18:00:00,2021-01-03 19:00:00,45.84,Eur/MWh
68,2021-01-03 19:00:00,2021-01-03 20:00:00,35.83,Eur/MWh
69,2021-01-03 20:00:00,2021-01-03 21:00:00,33.31,Eur/MWh
70,2021-01-03 21:00:00,2021-01-03 22:00:00,34.98,Eur/MWh
71,2021-01-03 22:00:00,2021-01-03 23:00:00,27.39,Eur/MWh
72,2021-01-03 23:00:00,2021-01-04 00:00:00,29.33,Eur/MWh
73,2021-01-04 00:00:00,2021-01-04 01:00:00,24.82,Eur/MWh
74,2021-01-04 01:00:00,2021-01-04 02:00:00,24.65,Eur/MWh
75,2021-01-04 02:00:00,2021-01-04 03:00:00,24.8,Eur/MWh
76,2021-01-04 03:00:00,2021-01-04 04:00:00,27.71,Eur/MWh
77,2021-01-04 04:00:00,2021-01-04 05:00:00,28.58,Eur/MWh
78,2021-01-04 05:00:00,2021-01-04 06:00:00,37.04,Eur/MWh
79,2021-01-04 06:00:00,2021-01-04 07:00:00,52.03,Eur/MWh
80,2021-01-04 07:00:00,2021-01-04 08:00:00,55.76,Eur/MWh
81,2021-01-04 08:00:00,2021-01-04 09:00:00,57.06,Eur/MWh
82,2021-01-04 09:00:00,2021-01-04 10:00:00,57.18,Eur/MWh
83,2021-01-04 10:00:00,2021-01-04 11:00:00,60.0,Eur/MWh
84,2021-01-04 11:00:00,2021-01-04 12:00:00,61.27,Eur/MWh
85,2021-01-04 12:00:00,2021-01-04 13:00:00,60.28,Eur/MWh
86,2021-01-04 13:00:00,2021-01-04 14:00:00,60.07,Eur/MWh
87,2021-01-04 14:00:00,2021-01-04 15:00:00,59.46,Eur/MWh
88,2021-01-04 15:00:00,2021-01-04 16:00:00,61.99,Eur/MWh
